pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
TOI 172,b,TOI 172 b,Transit,0.0914,0.0017,-0.0017,0,0.3806,0.0093,-0.009,0,1.13,0.07,-0.06,5.42,0.22,-0.2,0,1722.6386,69.9226,-63.566
Kepler-1658,b,Kepler-1658 b,Transit,0.0544,0.0007,-0.0007,0,0.0628,0.0197,-0.0185,0,1.45,0.06,-0.06,5.88,0.47,-0.46,0,1868.8404,149.3801,-146.2018
WASP-89,b,WASP-89 b,Transit,0.0427,0.0012,-0.0012,0,0.193,0.009,-0.009,0,0.92,0.08,-0.08,5.9,0.4,-0.4,0,1875.197,127.132,-127.132
Qatar-4,b,Qatar-4 b,Transit,0.02803,0.00048,-0.00048,0,0,,,0,0.9,0.05,-0.05,6.1,0.54,-0.54,0,1938.763,171.6282,-171.6282
Ross 458,c,Ross 458 c,Imaging,1168,0,0,0,,,,,0.49,0,0,6.28536,0,0,0,1997.59,0,0
UZ For,b,UZ For b,Eclipse Timing Variations,5.9,1.4,-1.4,0,0.04,0.05,-0.05,0,0.7,0,0,6.3,1.5,-1.5,-1,2002.2,476.7,-476.7
HAT-P-70,b,HAT-P-70 b,Transit,0.04739,0.00031,-0.00106,0,0,,,0,1.89,0.01,-0.01,6.78,0,0,0,2154.8874,0,0
Kepler-31,d,Kepler-31 d,Transit,0.4,0,0,0,,,,,1.21,0.17,-0.17,6.8,0,0,1,2161.244,0,0
KMT-2016-BLG-1397L,b,KMT-2016-BLG-1397L b,Microlensing,5.1,1.5,-1.7,0,,,,0,0.45,0.33,-0.28,7,5.2,-4.3,0,2224.81,1652.716,-1366.669
HAT-P-20,b,HAT-P-20 b,Transit,0.0361,0.0005,-0.0005,0,0.015,0.005,-0.005,0,0.76,0.03,-0.03,7.246,0.187,-0.187,0,2302.899,59.432,-59.432
Kepler-419,c,Kepler-419 c,Transit Timing Variations,1.68,0.03,-0.03,0,0.184,0.002,-0.002,0,1.39,0.08,-0.07,7.3,0.4,-0.4,0,2320.1,127.1,-127.1
NN Ser,c,NN Ser c,Eclipse Timing Variations,5.35,0.06,-0.06,0,0.08,0.05,-0.05,0,0.54,0,0,7.33,0.31,-0.31,0,2329.6,98.52,-98.52
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,15,0,0,0,,,,,0.02,0,0,7.5,2.5,-2.5,0,2383.6,794.5,-794.5
WD 0806-661,b,WD 0806-661 b,Imaging,2500,0,0,0,,,,,0.62,0.03,-0.03,7.5,1.5,-1.5,0,2383.6,476.7,-476.7
CoRoT-14,b,CoRoT-14 b,Transit,0.027,0.002,-0.002,0,0,,,0,1.13,0.09,-0.09,7.6,0.6,-0.6,0,2415.4,190.7,-190.7
KIC 5095269,b,KIC 5095269 b,Eclipse Timing Variations,0.8,0.005,-0.005,0,0.0603,0.0021,-0.0021,0,1.21,0,0,7.693,0.054,-0.054,0,2445.06619,17.16282,-17.16282
UZ For,c,UZ For c,Eclipse Timing Variations,2.8,0.5,-0.5,0,0.05,0.05,-0.05,0,0.7,0,0,7.7,1.2,-1.2,-1,2447.2,381.4,-381.4
PDS 70,b,PDS 70 b,Imaging,22,0,0,0,,,,0,0.76,0.02,-0.02,8,6,-6,0,2542.64,1906.98,-1906.98
WASP-167,b,WASP-167 b,Transit,0.0365,0.0006,-0.0006,0,,,,0,1.59,0.08,-0.08,8,0,0,1,2542.64,0,0
MOA-2012-BLG-006L,b,MOA-2012-BLG-006L b,Microlensing,10.2,1.8,-2.4,0,,,,0,0.49,0.27,-0.23,8.4,4.6,-3.9,0,2669.772,1462.018,-1239.537
ROXs 42 B,b,ROXs 42 B b,Imaging,157,0,0,0,,,,,1,0,0,9,3,-3,0,2860,953,-953
HIP 65426,b,HIP 65426 b,Imaging,92,0,0,0,,,,0,1.96,0.04,-0.04,9,3,-3,0,2860.47,953.49,-953.49
bet Pic,c,bet Pic c,Radial Velocity,2.7,0,0,0,0.24,,,0,1.76,0.18,-0.17,9,0,0,0,2860.47,0,0
