,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
477,Kepler-165,b,Kepler-165 b,Transit,0,2,8.180848,2.6e-05,-2.6e-05,0.0,0.072,,,0,,,,,,,,,,,,,,0.207,0.126,-0.126,0,,,,,0,1,0,1,18h42m45.84s,280.691016,+47d48m35.0s,47.809735,570.07,6.42,-6.42,0,570.07,6.42,-6.42,0.0,14.802,,0,Kepler-band,14.794,,0.0,5211.0,200.0,-200.0,0,,,,,0.77,0.47,-0.47,0.0,5/14/2014,Kepler
478,Kepler-165,c,Kepler-165 c,Transit,0,2,15.31299,5.7e-05,-5.7e-05,0.0,0.11,,,0,,,,,,,,,,,,,,0.199,0.12,-0.12,0,,,,,0,1,0,1,18h42m45.84s,280.691016,+47d48m35.0s,47.809735,570.07,6.42,-6.42,0,570.07,6.42,-6.42,0.0,14.802,,0,Kepler-band,14.794,,0.0,5211.0,200.0,-200.0,0,,,,,0.77,0.47,-0.47,0.0,5/14/2014,Kepler
479,Kepler-352,b,Kepler-352 b,Transit,0,2,10.05537,0.000194,-0.000194,0.0,0.085,,,0,,,,,,,,,,,,,,0.077,0.007,-0.007,0,,,,,0,1,0,1,19h59m35.17s,299.896521,+46d03m07.1s,46.051975,254.59,1.4,-1.4,0,254.59,1.4,-1.4,0.0,12.957,,0,Kepler-band,12.956,,0.0,5212.0,100.0,-100.0,0,,,,,0.78,0.05,-0.05,0.0,5/14/2014,Kepler
480,Kepler-352,c,Kepler-352 c,Transit,0,2,16.332995,0.000272,-0.000272,0.0,0.118,,,0,,,,,,,,,,,,,,0.111,0.009,-0.009,0,,,,,0,1,0,1,19h59m35.17s,299.896521,+46d03m07.1s,46.051975,254.59,1.4,-1.4,0,254.59,1.4,-1.4,0.0,12.957,,0,Kepler-band,12.956,,0.0,5212.0,100.0,-100.0,0,,,,,0.78,0.05,-0.05,0.0,5/14/2014,Kepler
481,K2-65,b,K2-65 b,Transit,0,1,12.6475,0.0013,-0.0013,0.0,0.1014,0.0039,-0.0039,0,,,,,,,,,,,,,,0.141,0.034,-0.034,0,,,,,0,0,1,0,22h12m50.82s,333.211761,-10d55m31.4s,-10.925379,78.06,11.17,-15.66,0,,,,,10.801,0.084,0,V (Johnson),,,,5213.0,336.0,-336.0,0,0.87,0.1,-0.1,0.0,0.84,0.12,-0.12,0.0,7/18/2016,K2
482,Qatar-4,b,Qatar-4 b,Transit,0,1,1.8053564,,,0.0,0.02803,0.00048,-0.00048,0,0.0,,,0.0,87.5,1.6,-1.6,0.0,6.1,0.54,-0.54,0.0,Mass,1.135,0.11,-0.11,0,5.1,1.0,-1.0,0.0,0,0,0,0,00h19m26.22s,4.859266,+44d01m39.5s,44.027641,332.17,2.9,-2.9,0,332.17,2.9,-2.9,0.0,13.6,,0,V (Johnson),13.411,,0.0,5215.0,50.0,-50.0,0,0.9,0.05,-0.05,0.0,0.85,0.06,-0.06,0.0,4/27/2017,Qatar
483,K2-256,b,K2-256 b,Transit,0,1,5.52011,0.00239,-0.00289,0.0,0.0578,0.0008,-0.0008,0,,,,0.0,,,,0.0,,,,0.0,,0.235,0.022,-0.019,0,,,,0.0,0,0,1,0,12h24m54.52s,186.227158,-02d03m57.4s,-2.065931,580.5,14.9,-13.9,0,573.78,14.91,-14.91,0.0,14.939,0.01,0,V (Johnson),14.699,,0.0,5219.0,179.0,-136.0,0,0.84,0.03,-0.04,0.0,0.78,0.02,-0.02,0.0,7/12/2018,K2
484,K2-184,b,K2-184 b,Transit,0,1,16.995731,0.001288,-0.00129,0.0,0.1229,0.0009,-0.0009,0,,,,0.0,,,,0.0,,,,0.0,,0.138,0.008,-0.008,0,,,,0.0,0,0,1,0,08h36m33.63s,129.140106,+14d27m43.0s,14.461936,75.79,0.33,-0.33,0,75.75,0.33,-0.33,0.0,10.345,0.053,0,V (Johnson),10.13,,0.0,5220.0,66.0,-66.0,0,0.86,0.02,-0.02,0.0,0.78,0.01,-0.01,0.0,10/26/2018,K2
485,K2-192,b,K2-192 b,Transit,0,1,4.162817,0.000432,-0.000447,0.0,0.049,0.0003,-0.0003,0,,,,0.0,,,,0.0,,,,0.0,,0.136,0.012,-0.012,0,,,,0.0,0,0,1,0,13h46m19.75s,206.582275,-11d33m22.5s,-11.556253,223.99,1.8,-1.8,0,223.16,1.81,-1.81,0.0,12.704,0.04,0,V (Johnson),12.45,,0.0,5222.0,48.0,-48.0,0,0.9,0.01,-0.01,0.0,0.81,0.01,-0.01,0.0,10/26/2018,K2
486,HATS-2,b,HATS-2 b,Transit,0,1,1.354133,1e-06,-1e-06,0.0,0.023,0.0003,-0.0003,0,0.0,,,0.0,87.2,0.7,-0.7,0.0,1.345,0.15,-0.15,0.0,Mass,1.168,0.03,-0.03,0,1.05,0.14,-0.14,0.0,0,0,0,0,11h46m57.38s,176.739094,-22d33m46.8s,-22.562992,360.0,11.0,-11.0,0,345.3,3.68,-3.68,0.0,13.562,0.016,0,V (Johnson),13.342,,0.0,5227.0,95.0,-95.0,0,0.88,0.04,-0.04,0.0,0.9,0.02,-0.02,0.0,5/14/2014,HATSouth
