pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_facility,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim
TOI-270,b,TOI-270 b,Transit,0,3,3.36008,0.000065,-0.00007,0,0.0306,0.0033,-0.0057,0,0,,,0,0.111,0.008,-0.007,0,,,,0,0,0,0,1,04h33m39.72s,68.4155,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.62,0.03,0,V (Johnson),11.631,,0,3386,137,-131,0,0.4,0.02,-0.02,0,0.38,0.02,-0.02,0,8/1/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),44.46,0.03,-0.03,0,,,,,6.3,M3.0 V,,0
TOI-270,c,TOI-270 c,Transit,0,3,5.660172,0.000035,-0.000035,0,0.0472,0.003,-0.0033,0,0,,,0,0.216,0.012,-0.012,0,,,,0,0,0,0,1,04h33m39.72s,68.4155,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.62,0.03,0,V (Johnson),11.631,,0,3386,137,-131,0,0.4,0.02,-0.02,0,0.38,0.02,-0.02,0,8/1/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),44.46,0.03,-0.03,0,,,,,6.3,M3.0 V,,0
TOI-270,d,TOI-270 d,Transit,0,3,11.38014,0.00011,-0.0001,0,0.0733,0.0042,-0.0042,0,0,,,0,0.19,0.011,-0.011,0,,,,0,0,0,0,1,04h33m39.72s,68.4155,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.62,0.03,0,V (Johnson),11.631,,0,3386,137,-131,0,0.4,0.02,-0.02,0,0.38,0.02,-0.02,0,8/1/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),44.46,0.03,-0.03,0,,,,,6.3,M3.0 V,,0
K2-18,b,K2-18 b,Transit,0,2,32.939623,0.000095,-0.0001,0,0.1429,0.006,-0.0065,0,0.2,0.08,-0.08,0,0.211,0.02,-0.02,0,4.11,1.72,-1.18,0,0,0,1,1,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,38.07,0.08,-0.08,0,38.07,0.08,-0.08,0,13.496,0.05,0,V (Johnson),12.415,,0,3457,39,-39,0,0.36,0.05,-0.05,0,0.41,0.04,-0.04,0,3/21/2019,3.55,0.57,-0.58,0,K2,26.27,0.05,-0.05,0,0.65,0,0,0,6.25,M2.5 V,,0
GJ 1252,b,GJ 1252 b,Transit,0,1,0.5182349,0.0000063,-0.000005,0,0.00916,0.00076,-0.00076,0,0,,,0,0.106,0.007,-0.007,0,,,,0,0,0,0,0,20h27m42.06s,306.925235,-56d27m25.2s,-56.45699,20.38,0.02,-0.02,0,20.38,0.02,-0.02,0,12.193,0.056,0,V (Johnson),11.236,,0,3458,140,-133,0,0.38,0.02,-0.02,0,0.39,0.02,-0.02,0,2/13/2020,3.17,0.85,-0.85,0,Transiting Exoplanet Survey Satellite (TESS),49.06,0.05,-0.05,0,7.48,0,0,0,6.3,M3,,0
K2-129,b,K2-129 b,Transit,0,1,8.239493,0.000292,-0.000291,0,0.057,0.003,-0.004,0,0.13,0.210105,-0.109504,0,0.093,0.009,-0.008,0,,,,0,0,0,1,0,19h16m35.60s,289.148315,-25d38m41.9s,-25.644964,27.82,0.07,-0.07,0,27.82,0.07,-0.07,0,13.63,0.034,0,V (Johnson),12.462,,0,3459.09,89.05,-83.62,0,0.36,0.07,-0.07,0,0.36,0.03,-0.03,0,10/5/2017,,,,0,K2,35.95,0.1,-0.1,0,,,,,,,,
K2-137,b,K2-137 b,Transit,0,1,0.179715,0.000001,-0.000001,0,0.0058,0.0006,-0.0006,0,0,,,0,0.079,0.008,-0.008,0,,,,0,0,0,1,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,99.15,0.61,-0.61,0,99.15,0.61,-0.61,0,15.498,0.054,0,V (Johnson),14.435,,0,3492,70,-70,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,11/16/2017,,,,0,K2,10.09,0.06,-0.06,0,,,,,6.3,M3 V,,0
K2-104,b,K2-104 b,Transit,0,1,1.974238,0.00011,-0.00011,0,0.023,0.001,-0.001,0,0.09,0.167783,-0.07267,0,0.175,0.013,-0.013,0,,,,0,0,0,1,1,08h38m32.82s,129.636749,+19d46m25.8s,19.773829,190.21,3.92,-3.92,0,190.21,3.92,-3.92,0,15.149,,0,Kepler-band,15.395,,0,3546.46,98.71,-94.56,0,0.43,0.06,-0.07,0,0.49,0.03,-0.03,0,10/26/2017,,,,0,K2,5.26,0.11,-0.11,0,34.81,0.17,-0.17,0,6.2,M2.5e,,0
K2-125,b,K2-125 b,Transit,0,1,21.750264,0.00199,-0.001957,0,0.121,0.004,-0.005,0,0.08,0.161049,-0.066906,0,0.194,0.017,-0.016,0,,,,0,0,0,1,0,13h36m34.11s,204.14212,-14d56m51.4s,-14.947603,124.6,0.83,-0.83,0,124.6,0.83,-0.83,0,16.122,0.068,0,V (Johnson),15.151,,0,3654.47,99.56,-92.33,0,0.49,0.05,-0.06,0,0.4,0.03,-0.03,0,10/5/2017,,,,0,K2,8.03,0.05,-0.05,0,,,,,,,,
HATS-6,b,HATS-6 b,Transit,0,1,3.3252725,0.0000021,-0.0000021,0,0.03623,0.00042,-0.00057,0,0,,,0,0.998,0.019,-0.019,0,0.399,0.089,-0.089,0,0,0,0,0,05h52m35.23s,88.146797,-19d01m54.0s,-19.031656,148.4,3.3,-3.3,0,170.14,1.06,-1.06,0,15.16,0.024,0,V (Johnson),14.36,,0,3724,18,-18,0,0.57,0.02,-0.03,0,0.57,0.01,-0.01,0,5/14/2015,63,14,-14,0,HATSouth,5.88,0.04,-0.04,0,,,,,6.1,M1 V,,0
