pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
WASP-121,b,WASP-121 b,Transit,0,1,1.2749255,0.0000002,-0.00000025,0,0.02544,0.00049,-0.0005,0,0,,,0,87.6,0.6,-0.6,0,1.183,0.064,-0.062,0,Mass,1.865,0.044,-0.044,0,0.243,0.021,-0.021,0,0,0,0,0,07h10m24.07s,107.600275,-39d05m50.6s,-39.097393,270,90,-90,0,272.01,1.58,-1.58,0,10.44,,0,V (Johnson),10.375,,0,6459,140,-140,0,1.35,0.08,-0.08,0,1.46,0.03,-0.03,0,6/23/2016,SuperWASP
HATS-40,b,HATS-40 b,Transit,0,1,3.2642736,0.0000058,-0.0000058,0,0.04997,0.00074,-0.00074,0,0.312,,,1,85.8,1.8,-1.8,0,1.59,0.24,-0.24,0,Mass,1.58,0.16,-0.12,0,0.49,0.13,-0.13,0,0,0,0,0,06h42m17.10s,100.571251,-29d46m36.5s,-29.776806,1431,116,-75,0,1396.42,33.4,-33.4,0,13.377,0.03,0,V (Johnson),13.22,,0,6460,130,-130,0,1.56,0.07,-0.07,0,2.26,0.18,-0.11,0,4/12/2018,HATSouth
HD 8673,b,HD 8673 b,Radial Velocity,0,1,1634,17,-17,0,3.02,0.15,-0.15,0,0.723,0.016,-0.016,0,,,,0,14.2,1.6,-1.6,0,Msini,,,,0,,,,0,0,0,0,0,01h26m08.78s,21.536604,+34d34m46.9s,34.5797,37.9,0.05,-0.05,0,37.9,0.05,-0.05,0,6.31,,0,V (Johnson),6.219,,0,6472,51,-51,0,1.35,0.1,-0.1,0,1.39,0.1,-0.1,0,1/31/2019,Thueringer Landessternwarte Tautenburg
KOI-7892,b,KIC 8540376 b,Transit,0,2,31.8099,0.00919,-0.00933,0,,,,,,,,,89.3,0.49,-0.72,0,,,,,,0.366,0.196,-0.17,0,,,,,0,1,0,0,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,1106.37,23.26,-23.26,0,1106.37,23.26,-23.26,0,14.294,,0,Kepler-band,14.217,,0,6474,178,-267,0,1.04,0.2,-0.2,0,1.26,0.56,-0.56,0,1/5/2016,Kepler
KOI-7892,c,KIC 8540376 c,Transit,0,2,75.2,38.9,-1.1,0,,,,,,,,,89.701,0.16,-0.16,0,,,,,,0.214,0.17,-0.125,0,,,,,0,1,0,0,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,1106.37,23.26,-23.26,0,1106.37,23.26,-23.26,0,14.294,,0,Kepler-band,14.217,,0,6474,178,-267,0,1.04,0.2,-0.2,0,1.26,0.56,-0.56,0,1/5/2016,Kepler
WASP-14,b,WASP-14 b,Transit,0,1,2.24375,0.00001,-0.00001,0,,,,0,0.09,0,0,0,84.32,0.62,-0.62,0,8.84,1.4,-1.4,0,Mass,1.38,0.08,-0.08,0,,,,0,0,0,0,1,14h33m06.35s,218.276477,+21d53m41.0s,21.894714,162.75,0.81,-0.81,0,162.75,0.81,-0.81,0,9.75,,0,V (Johnson),9.646,,0,6475,100,-100,0,1.62,0.39,-0.39,0,1.4,0.08,-0.08,0,4/26/2018,SuperWASP
NGTS-2,b,NGTS-2 b,Transit,0,1,4.511164,0.000061,-0.000061,0,0.063,0.0024,-0.003,0,0,,,0,88.5,1,-1.2,0,0.74,0.13,-0.12,0,Mass,1.595,0.047,-0.045,0,0.226,0.04,-0.038,0,0,0,0,0,14h20m29.49s,215.122879,-31d12m07.5s,-31.20207,360.3,8.3,-7.8,0,359.81,8.11,-8.11,0,10.961,0.011,0,V (Johnson),10.86,,0,6478,94,-89,0,1.64,0.19,-0.22,0,1.7,0.05,-0.04,0,10/4/2018,Paranal Observatory
WASP-82,b,WASP-82 b,Transit,0,1,2.70579,0.000002,-0.000002,0,,,,0,0,,,0,87.9,1.65,-1.65,0,1.17,0.2,-0.2,0,Mass,1.62,0.13,-0.13,0,,,,0,0,0,0,0,04h50m38.56s,72.660671,+01d53m38.1s,1.893921,277.84,3.11,-3.11,0,277.84,3.11,-3.11,0,10.1,,0,V (Johnson),9.898,,0,6480,90,-90,0,1.48,0.37,-0.37,0,2.1,0.16,-0.16,0,4/26/2018,SuperWASP
Kepler-1394,b,Kepler-1394 b,Transit,0,1,3.93766373,0.00003657,-0.00003657,0,,,,,,,,,,,,,,,,,,0.124,0.018,-0.02,0,,,,,0,1,0,1,18h53m48.77s,283.4532,+45d05m02.9s,45.084141,820,109.44,-126.02,0,652.4,8.37,-8.37,0,11.801,,0,Kepler-band,11.714,,0,6481,65.36,-62.24,0,1.64,0.09,-0.12,0,2.55,0.35,-0.39,0,5/10/2016,Kepler
HD 103774,b,HD 103774 b,Radial Velocity,0,1,5.8881,0.0005,-0.0005,0,0.07,0.001,-0.001,0,0.09,0.04,-0.04,0,,,,,0.367,0.022,-0.022,0,Msini,,,,,,,,,0,0,0,0,11h56m55.59s,179.231628,-12d06m28.5s,-12.107909,56.5,0.18,-0.18,0,56.5,0.18,-0.18,0,7.121,0.011,0,V (Johnson),7.009,,0,6489,77,-77,0,1.33,0.03,-0.03,0,,,,,5/14/2014,La Silla Observatory
